GroupID,membershiptypeID,transactionprice,transactionpurchasedate,membershiptype
785,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 12:24,2024/25 Super Blues Membership
785,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,11/5/23 19:31,2023/24 Super Blues Membership
1355,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£0.00,7/13/23 14:31,2023/24 Super Blues Membership
1355,bcd91c0e-35c6-ec11-8396-e571432a47fd,£0.00,6/14/22 14:19,2022/23 - Gold Membership
1355,8dbc7499-0a9d-eb11-82e4-d73c58c895cf,£0.00,8/18/21 15:52,2021/22 - Gold Membership (S/T Holders)
1355,c7c7e8c9-e063-44cb-95ee-7115247c69e0,£0.00,5/17/19 0:00,2019/20 GOLD MEMBERSHIP(S/T HOLDERS)
1355,0fdb952d-b08b-4675-8fb3-e5c0845841f9,£0.00,5/4/18 0:00,2018/19 GOLD MEMBERSHIP (S/T HOLDERS)
1355,d9388420-ae1c-48ad-9013-6ac15b5d15d4,£0.00,3/28/17 0:00,2017/18 GOLD MEMBERSHIP (S/T HOLDERS)
1355,93d424d8-060c-4735-8974-22ca492f174c,£0.00,3/11/16 0:00,2016/17 GOLD MEMBERSHIP(S/T HOLDERS)
1355,cc23d5e9-710f-4224-8f51-af1c35cf2336,£0.00,4/10/15 0:00,2015/16 GOLD MEMBERSHIP (S/T HOLDERS)
1355,b371e2ae-5d86-4837-a117-c4f6c8698b92,£0.00,4/29/14 0:00,2014/15 GOLD MEMBERSHIP (S/T HOLDERS)
1355,69388d28-fb60-4f3b-9ddd-60808f2f2779,£0.00,3/25/13 0:00,2013/14 GOLD MEMBERSHIP
1355,ae8322a6-7aa7-4fc9-b1c7-5274aedfe678,£0.00,3/26/12 0:00,2012/13 GOLD MEMBERSHIP
1355,67e707f0-dae7-4321-9e85-142a9aa64ecf,£0.00,3/30/11 0:00,2011/12 GOLD CLUB MEMBERSHIP
1355,0b7ab9cb-1f51-4747-9fde-d21432da623b,£0.00,4/16/10 0:00,2010/11 GOLD CLUB MEMBERSHIP
2395,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/26/23 12:21,2023/24 Super Blues Membership
2395,bcd91c0e-35c6-ec11-8396-e571432a47fd,£19.99,1/13/23 13:19,2022/23 - Gold Membership
2395,4f9de90d-c188-4139-9171-fe6bdf90d775,£29.99,10/2/15 0:00,2015/16 SILVER MEMBERSHIP (NON S/T)
2780,467a8775-c919-ef11-8444-84857200de01,£39.99,7/18/24 15:32,2024/25 Super Blues Membership
2780,e9991286-ec36-4a40-9b48-0efa41f9b936,£29.99,7/15/16 0:00,2016/17 SILVER MEMBERSHIP (NON S/T)
2780,67e707f0-dae7-4321-9e85-142a9aa64ecf,£15.00,4/4/11 0:00,2011/12 GOLD CLUB MEMBERSHIP
2780,0b7ab9cb-1f51-4747-9fde-d21432da623b,£15.00,3/16/10 0:00,2010/11 GOLD CLUB MEMBERSHIP
4524,c209c57c-8afe-4262-8f7a-21409ac8eb9d,£29.99,9/29/17 0:00,2017/18 SILVER MEMBERSHIP (NON S/T)
6640,467a8775-c919-ef11-8444-84857200de01,£34.99,8/5/24 19:29,2024/25 Super Blues Membership
6640,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,8/7/23 13:28,2023/24 Super Blues Membership
