GroupID,orderID,transactionpurchasedate,ordervalue,
1355,ITFC-000044523,10/9/20 16:49, £	54.00 ,
1355,11758248329596,4/21/25 19:03, £	66.00 ,
1355,11385247367548,12/19/24 20:38, £	79.00 ,
1355,ITFC-000037369,7/1/20 9:13, £	88.50 ,
1355,ITFC-000147571,5/16/23 19:04, £	100.50 ,
2395,5510068273443,9/27/23 14:22, £	20.00 ,
2395,11326139138428,12/4/24 16:28, £	23.00 ,
2395,5624139055395,11/26/23 17:14, £	28.00 ,
2395,5575621837091,10/20/23 10:33, £	30.00 ,
2395,ITFC-000121599,10/21/22 9:29, £	98.00 ,
2395,6009697698083,7/6/24 17:19, £	120.00 ,
2780,6029109035299,7/13/24 22:33, £	64.00 ,
4524,ITFC-000089863,1/10/22 10:27, £	7.00 ,
4524,ITFC-000125218,11/4/22 9:39, £	15.00 ,
4524,9735977009532,10/25/24 19:01, £	33.00 ,
4524,ITFC-000076932,10/8/21 16:41, £	48.00 ,
4524,11316744159612,12/2/24 7:45, £	50.00 ,
4524,6096609575203,7/26/24 23:46, £	59.00 ,
6640,11650668560764,3/7/25 17:25, £	55.00 ,
6640,12001978089852,7/2/25 14:14, £	59.00 ,
7126,6010021052707,7/6/24 21:39, £	128.00 ,
11493,ITFC-000141429,3/17/23 18:01, £	55.00 ,
11493,11778580152700,4/30/25 8:33, £	93.00 ,
12318,ITFC-000029460,1/8/20 20:16, £	5.00 ,
12318,ITFC-000051833,11/27/20 20:49, £	6.50 ,
12318,5747246203171,2/20/24 22:04, £	44.00 ,
12318,ITFC-000119753,10/10/22 11:59, £	49.00 ,
12318,5584375972131,10/26/23 21:56, £	55.00 ,
12318,ITFC-000127408,11/13/22 21:41, £	98.00 ,
13506,11506239603068,1/10/25 19:19, £	19.00 ,
13506,5995147690275,6/27/24 19:29, £	19.00 ,
13506,6156370903331,8/24/24 21:10, £	24.00 ,
13506,11795309166972,5/6/25 13:39, £	32.00 ,
13506,11605765259644,2/18/25 19:50, £	39.00 ,
16685,ITFC-000137462,1/24/23 12:03, £	29.00 ,
16922,5606439354659,11/12/23 20:35, £	7.00 ,
18181,ITFC-000013595,2/23/19 18:23, £	41.50 ,
18181,ITFC-000022733,11/4/19 17:19, £	42.00 ,
18181,ITFC-000022684,11/3/19 13:22, £	42.00 ,
18181,ITFC-000023725,11/18/19 13:53, £	49.00 ,
18181,ITFC-000016797,6/8/19 15:47, £	52.00 ,
18181,ITFC-000016770,6/8/19 11:07, £	52.00 ,
18181,ITFC-000113820,8/25/22 14:58, £	98.00 ,
18181,5584265642275,10/26/23 19:31, £	110.00 ,
27424,ITFC-000125437,11/4/22 19:29, £	3.00 ,
27424,5611547525411,11/17/23 17:18, £	42.00 ,
27424,6137930121507,8/11/24 20:44, £	64.00 ,
